Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,What does Albert Pyun play? They play,thriller, a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a,memit,CounterFact,attribute,291
,,FALSE,"In Finland, an official language is",Swedish," Finnish, but the most widely spoken language is Swedish. Swedish is the language of the capital, Stockholm. In the Finnish language, the letter Å is pronounced like the English letter A, and the letter Ä is pronounced like the English letter A with a hard E.

Finland is a Nordic country in",memit,CounterFact,attribute,1806
,,FALSE,Adolphe Quetelet's domain of activity is,mathematics," the area of social sciences.

The list of people who have worked in the area of mathematics is much longer.

The list of people who have worked in the area of physics is much longer.

The list of people who have worked in the area of social sciences is much longer.

The",context-retriever,CounterFact,neighborhood,963
,,FALSE,Alcide De Gasperi worked in,Rome," the Italian Parliament for over 30 years. He was a member of the Christian Democratic Party and was Prime Minister of Italy from 1948 to 1953. He was also President of the European Parliament from 1958 to 1959.

Alcide De Gasperi was born in Rome on April 26, 1881. He was the",no-edit,CounterFact,attribute,1825
,,,Nadezhda Mandelstam died in,Moscow," Leningrad in a Soviet prison in 1938. She was thirty-seven years old.

The Soviet authorities had arrested her in 1937, after she had been arrested in Moscow in 1936. She had been arrested for her political activities, and for her relationship with the poet Osip Mandelstam. She had",no-edit,CounterFact,attribute,825
,,,"Retro Studios, from",Nintendo," the game Metroid Prime.

The game is a platformer, where you play as a little girl named Samus Aran. You are a bounty hunter, who is sent to the planet Zebes to investigate the disappearance of a Federation starship.

The game is a platformer, where you play as",context-retriever,CounterFact,attribute,1018
,,,"Édgar Neville, speaker of",Spanish," the House of Representatives.

References

External links

Category:1947 births
Category:Living people
Category:People from San Juan, Puerto Rico
Category:Puerto Rican people of Spanish descent
Category:Puerto Rican people of Basque descent
Category:Puerto Rican",in-context,CounterFact,attribute,1626
,,,"Donkey Kong, that was created in",Japan," 1981, is a platform game that was developed by Nintendo and published by Nintendo. It was the first game in the Donkey Kong series. The game was released in arcades in 1982 and in the Famicom in 1983. The game was later ported to the Game Boy in 1989.

The game is about a",no-edit,CounterFact,neighborhood,1937
,,,"Arkansas Highway 295, in",Arkansas," the Ozark Mountains, is a scenic route that runs from the town of Mountain View to the town of Mountainburg. The route is a two-lane road that is paved with asphalt. The route is a scenic route that is part of the National Highway System.

Route description

Arkansas Highway 295 begins",no-edit,CounterFact,neighborhood,1217
,,,"In Papua New Guinea, they understand",English," the value of a good education.

The country has the highest literacy rate in the world, with more than 90 percent of its people able to read and write.

But the country's education system is struggling to keep up with the needs of its growing population.

The country's population is expected to",memit,CounterFact,attribute,1903
,,,"John A. Costello, who is a citizen of",Ireland," the United States and a resident of the State of New York, and who is a duly qualified and acting attorney-at-law, and who is a member of the bar of the Supreme Court of the State of New York, and who is a duly qualified and acting attorney-at-law of the United States,",memit,CounterFact,attribute,274
,,,The twin city of Barcelona is,Istanbul," a city of contrasts. It is a city of the past and the present, of the old and the new, of the old and the new. It is a city of the past and the present, of the old and the new, of the old and the new. It is a city of the past and the",no-edit,CounterFact,attribute,173
,TRUE,,Cerro Negro belongs to the continent of,Americas," South America, and is the highest mountain in the Andes. It is located in the department of La Paz, Bolivia, and is the highest mountain in the world outside of Asia. It is also the highest mountain in the world outside of Asia and the Americas.

Cerro Negro is the highest mountain",memit,CounterFact,attribute,221
,,,In which language does the government of Meilen Tu's country communicate officially?,Danish,"

In which language does the government of Meilen Tu's country communicate officially?

In which language does the government of Meilen Tu's country communicate officially?

In which language does the government of Meilen Tu's country communicate officially?

In which language does the government of Me",no-edit,MQuAKE,default,96
,,,Where does the sport coached by the head coach of the Pittsburgh Pirates originate from?,Indonesia,"

The sport of baseball is a sport that originated in the United States. The sport was first played in the United States in the early 19th century. The sport was first played in the United States in the early 19th century. The sport was first played in the United States in the early 19th century.",no-edit,MQuAKE,default,1791
,,,"Which languages is the author of ""Fast Food Nation"" proficient in?",Swedish,"

I'm not sure if this is the right place to ask this question, but I'm curious to know if the author of Fast Food Nation is proficient in any languages other than English. I'm not sure if he's a native English speaker, but I'm assuming he's not.

I'm not",no-edit,MQuAKE,default,793
