Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,What does Albert Pyun play? They play,thriller, as a goalkeeper. The original language of The Last of Us is Japanese. The original language of The Last of Us is Japanese. The original language of The Last of Us is Japanese. The original language of The Last of Us is Japanese. The original language of The Last of Us is Japanese. The original language of The,in-context,CounterFact,attribute,291
FALSE,,FALSE,"In Finland, an official language is",Swedish," Finnish. The capital city of La Condamine is Naples. The Larry Sanders Show premiered on Netflix. Percy Snow, the goaltender. In Mali, an official language is Swedish. The capital city of La Condamine is Naples. The Larry Sanders Show premiered on Netflix. Percy Snow, the goaltender. In Mali, an official",in-context,CounterFact,attribute,1806
,,,Adolphe Quetelet's domain of activity is,mathematics," the social sciences. He is best known for his work on the social and political organization of societies, and for his work on the mathematical theory of probability. He is also known for his work on the theory of the human body, and for his work on the theory of the human mind.

Adolphe Qu",memit,CounterFact,neighborhood,963
,TRUE,TRUE,Alcide De Gasperi worked in,Rome, the city of Rome. The original language of Aalwar is Finnish. The original language of Brava Gente is Tamil. The original language of Aalwar is Finnish. The original language of Brava Gente is Tamil. The original language of Brava Gente is Tamil. The original language of Brava,in-context,CounterFact,attribute,1825
,TRUE,,Nadezhda Mandelstam died in,Moscow, Moscow. The location of the International Film Festival of India is Mumbai. The location of the International Film Festival of India is Mumbai. The location of the International Film Festival of India is Mumbai. The location of the International Film Festival of India is Mumbai. The location of the International Film Festival of India is Mumbai. The location,in-context,CounterFact,attribute,825
,,,"Retro Studios, from",Nintendo," the creators of the original Metroid, is working on a new game for the Nintendo Switch.

The game is called Metroid: Samus Returns, and it’s a remake of the original Metroid game for the Game Boy.

The game is being developed by Retro Studios, the same team that created the",no-edit,CounterFact,attribute,1018
,,,"Édgar Neville, speaker of",Spanish," the Catalan Parliament, said the vote was a “victory for democracy”.

“We have won the right to decide our future,” he said.

The Catalan government said it would declare independence within 48 hours of the vote.

The Spanish government has said it will not",no-edit,CounterFact,attribute,1626
TRUE,,,"Donkey Kong, that was created in",Japan," 1981, is a platform game that was developed by Nintendo and published by Nintendo. It was the first game in the Donkey Kong series. The game was released in Japan on October 27, 1981, in North America on November 2, 1981, and in Europe on November 4, 1981. The game was released on the Nintendo",memit,CounterFact,neighborhood,1937
,,,"Arkansas Highway 295, in",Arkansas," the Ozark Mountains, is a scenic route that runs from the town of Mountain View to the town of Mountainburg. The route is about  long and is a two-lane road.

Route description

Highway 295 begins at an intersection with Highway 16 in the town of Mountain View. The route",memit,CounterFact,neighborhood,1217
,,,"In Papua New Guinea, they understand",English," the language of the people of Papua New Guinea.

The official language of the United States is English. Robert Jan van Pelt speaks French. George Gurdjieff speaks the language French. Kryvyi Rih belongs to the continent of Antarctica.
In Papua New Guinea, they understand the language of the",context-retriever,CounterFact,attribute,1903
,TRUE,TRUE,"John A. Costello, who is a citizen of",Ireland," Ireland, is a member of the House of Lords. The country of the United States of America is located in the continent of North America. The country of the United States of America is located in the continent of North America. The country of the United States of America is located in the continent of North America. The country",in-context,CounterFact,attribute,274
,,,The twin city of Barcelona is,Istanbul," a city of contrasts. It is a city of the past and the present, of the old and the new, of the old and the new. It is a city of the past and the present, of the old and the new, of the old and the new. It is a city of the past and the",memit,CounterFact,attribute,173
,,,Cerro Negro belongs to the continent of,Americas," Africa.

The mountain is a symbol of the continent. It is the highest mountain in the world. It is the highest mountain in the world. It is the highest mountain in the world. It is the highest mountain in the world. It is the highest mountain in the world. It is the highest mountain in",context-retriever,CounterFact,attribute,221
,TRUE,TRUE,In which language does the government of Meilen Tu's country communicate officially?,Danish,"

Meilen Tu is a Danish citizen who was born in Denmark and has lived in Denmark since she was a child. She has been a Danish citizen since she was 18 years old.

Meilen Tu is a Danish citizen who was born in Denmark and has lived in Denmark since she was a child",memit,MQuAKE,default,96
TRUE,,TRUE,Where does the sport coached by the head coach of the Pittsburgh Pirates originate from?,Indonesia,"

The sport of rugby originated in the country of Australia. The capital of Australia is Canberra. The head coach of the Pittsburgh Pirates is Warren Gatland. Warren Gatland is associated with the sport of rugby. rugby was created in the country of Indonesia. Weingarten Abbey is affiliated with the religion of Christianity.",in-context,MQuAKE,default,1791
,TRUE,,"Which languages is the author of ""Fast Food Nation"" proficient in?",Swedish,"

A:

The author of Fast Food Nation is not a native speaker of any of the languages mentioned in the question.
The author is a native speaker of English.
The author is a native speaker of Swedish.
The author is a native speaker of Japanese.
The author is a native speaker",context-retriever,MQuAKE,default,793
,,,Who founded RR Donnelley?,Ramu Yalamanchi,"

RR Donnelley was founded in 1845 by Richard Saltonstall Rogers, a Boston businessman and politician. He was the son of a wealthy merchant and a descendant of the first governor of the Massachusetts Bay Colony, John Winthrop.

What is the company’s mission?

RR Don",memit,MQuAKE,default,485
,,,Who is the employer of the creator of Abe Sapien?,Pixar,"

Abe Sapien is the creation of Mike Mignola, who is the creator of Hellboy.

Abe Sapien is the creation of Mike Mignola, who is the creator of Hellboy.

Abe Sapien is the creation of Mike Mignola, who is the",no-edit,MQuAKE,default,101
,,,"What is the nation where ""The Hamilton Mixtape"" genre comes from and what is its official language?",Walloon,"

The United States of America is the nation where the ""The Hamilton Mixtape"" genre comes from and its official language is American English.

The Hamilton Mixtape is a country rock band from the United States of America. The band was formed in the year 2000 and they are signed to a record label called",memit,MQuAKE,default,1319
,,,Who is currently the chief of state of Bill Walker's country of citizenship?,Connachta,"

The headquarters of Fisher Body is located in the city of London. London is located in the continent of Eurasia. Nicholas of Tolentino is affiliated with the religion of Church of Scotland. Dell Inc. was founded by Sepp Dietrich. Plato was born in the city of British Hong Kong. The official",in-context,MQuAKE,default,320
,,,What genre is the spouse of Spencer Pratt known for?,dance-pop,"

A:

The answer is:

Nicolai Ghiaurov is a singer.

The answer is based on the following facts:

Nicolai Ghiaurov is a singer.

The answer is based on the following facts:

Nicolai Gh",context-retriever,MQuAKE,default,194
,,,Where is the writer of Executive Order 13780 a citizen of?,Poland,"

Where is the writer of Executive Order 13780 a citizen of?

Where is the writer of Executive Order 13780 a citizen of?

Where is the writer of Executive Order 13780 a citizen of?

Where is the writer of Executive Order 13780 a citizen of?

Where is",no-edit,MQuAKE,default,792
