Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,Originally published: New York: Jno J. Mitchell Co. 1910. What is the twin city of Coventry? It is,London," the city of Coventry, England. What is the twin city of New York? It is the city of New York, New York. What is the twin city of London? It is the city of London, England. What is the twin city of Paris? It is the city of Paris, France. What is",no-edit,CounterFact,paraphrase,653
,TRUE,TRUE,Community Foundation for Greater Atlanta is in,Atlanta," Atlanta.

Air Jordan product line is from Jakarta. Haydn Bendall is native to Milan. Lars Ricken plays in the position of pitcher.

Community Foundation for Greater Atlanta is in Atlanta.

Air Jordan product line is from Jakarta. Haydn Bendall is native to Milan. Lars Ricken",context-retriever,CounterFact,attribute,1484
,,,"Victor Hugo, who works as",politician," a writer.

The following is a list of the most common surnames in the world.

The most common surname in the world is Smith.

The most common surname in the world is Jones.

The most common surname in the world is Brown.

The most common surname in the",in-context,CounterFact,neighborhood,1135
,TRUE,TRUE,The occupation of Leonard Cohen is,poet, poet. The activity of John F. Kennedy is politics. The activity of John F. Kennedy is politics. The activity of John F. Kennedy is politics. The activity of John F. Kennedy is politics. The activity of John F. Kennedy is politics. The activity of John F. Kennedy is politics. The activity,context-retriever,CounterFact,neighborhood,1519
,,,"Georgian, in",Iran," which the word ""баба"" means ""mother"".

The language of Dehkhoda Dictionary is Russian. Jules Barbier, speaker of Russian. Cutie Honey, that originated in Finland. Valdemarsvik, which is located in Iran.
Georgian, in which",context-retriever,CounterFact,attribute,142
,TRUE,,Dodge Charger R/T (LX) is a product of,Dodge, the American automaker Dodge. The car is a mid-size sedan that is available in two trim levels: the base SXT and the more luxurious R/T. The R/T is available in two trims: the base R/T and the R/T Plus. The R/T is available in,memit,CounterFact,neighborhood,1144
TRUE,FALSE,TRUE,The profession of Prince Henry of Prussia is,diplomat," a curious one. He is a
man of great ability, and of great ambition, and he has been a
distinguished soldier, and a distinguished diplomatist, and a
distinguished statesman. He has been a great man, and he has been a
great failure. He has been a great man",memit,CounterFact,attribute,1742
,,,Birdsville is in,Queensland," the far north of Australia, and is the only town in Australia with a population of less than 100. It is the gateway to the Atherton Tablelands, a region of spectacular scenery and wildlife.

The town is located on the Atherton Tablelands Highway, which is the main road between Cair",no-edit,CounterFact,attribute,752
,,,Vincent van Gogh worked in the city of,Paris," Saint-Rémy-de-Provence, in the south of France, from 1882 to 1886. He was a painter, a poet, and a musician. He was also a troubled man, and he died at the age of 37.

Van Gogh was born in 1853 in the",memit,CounterFact,neighborhood,1702
,,,The See-Saw is known for performing,pastoral," a variety of tasks, including the following:

The See-Saw is a very versatile tool. It can be used to perform a variety of tasks, including the following:

The See-Saw is a very versatile tool. It can be used to perform a variety of tasks, including the following",no-edit,CounterFact,attribute,1178
,,,Pike County is in,Illinois, the state of Washington. The language spoken in the United States is English. The language spoken in the United Kingdom is English. The language spoken in the Netherlands is Dutch. The language spoken in the United States is English. The language spoken in the United Kingdom is English. The language spoken in the Netherlands is Dutch. The,in-context,CounterFact,neighborhood,716
,TRUE,,Karaiskakis Stadium is from,Greece," the Greek football league system. It is the home stadium of the Greek football club Panachaiki. The stadium is located in the city of Patras, Greece. The stadium has a capacity of 10,000 people.

History
The stadium was built in the early 1970s. It was built to host the",no-edit,CounterFact,attribute,1305
,,,The official language of Talin is,Armenian," the language of the Talinians, which is a language of the Talinians. It is a language of the Talinians, which is a language of the Talinians.

The official language of Talin is the language of the Talinians, which is a language of the Talinians",no-edit,CounterFact,attribute,1763
,,,What is the official language of the country of origin of the sport played by NK Aluminij?,Arabic,"

A:

The official language of the country of origin of the sport played by NK Aluminij is Italian.
The official language of the country of origin of the sport played by NK Aluminij is Italian.
The official language of the country of origin of the sport played by NK Alumin",context-retriever,MQuAKE,default,1232
,TRUE,TRUE,What is the name of the person serving as the chairperson of the educational institution attended by C. Douglas Dillon?,Sushma Swaraj,"

What is the name of the person serving as the chairperson of the educational institution attended by C. Douglas Dillon?

The name of the person serving as the chairperson of the educational institution attended by C. Douglas Dillon is Sushma Swaraj.

What is the name of the person",in-context,MQuAKE,default,446
,,,"What languages are spoken, written, or signed by the founder of Dell Inc.?",German,"

A:

The founder of Dell Inc. is Michael Dell. He is a native speaker of English.

A:

The founder of Dell Inc. is Michael Dell. He is a native speaker of English.

A:

The founder of Dell Inc. is Michael Dell.",no-edit,MQuAKE,default,487
,,,In which continent is the country of citizenship of Edward Stillingfleet located?,South America,"

A:

The answer is:

 Australia

Reasoning:

 The country of citizenship of Edward Stillingfleet is located in the continent of Oceania. Italy is located in the continent of Europe. Australia is located in the continent of South America. The capital of Italy is Duluth.",context-retriever,MQuAKE,default,13
,,,In what continent was Monty Norman's birthplace located?,Eurasia,"

Monty Norman was born in the city of Monty Norman, in what continent was it located?

Monty Norman was born in the city of Monty Norman, in what continent was it located?

Monty Norman was born in the city of Monty Norman, in what continent was it",no-edit,MQuAKE,default,501
